,Text,URL
12,"['[SALAH] “Nih yang bikin Covid, si jagoan Wall Street (Rockefeller Foundation)”']",https://turnbackhoax.id/2020/08/01/salah-nih-yang-bikin-covid-si-jagoan-wall-street-rockefeller-foundation/
13,['[SALAH] Foto Gubernur Anies dengan Narasi “MENGAKU KETURUNAN JOGJA DEMI AMBISIUS MENJADI RAJA”'],https://turnbackhoax.id/2020/07/27/salah-foto-gubernur-anies-dengan-narasi-mengaku-keturunan-jogja-demi-ambisius-menjadi-raja/
14,['[SALAH] Peta Yogyakarta di Timur Tengah'],https://turnbackhoax.id/2020/07/26/salah-peta-yogyakarta-di-timur-tengah/
15,['[SALAH] “Indonesia satu2nya negara didunia yang pemerintahnya bahagia merelakan rakyatnya jadi kelinci percobaan vaksin dari china”'],https://turnbackhoax.id/2020/07/26/salah-indonesia-satu2nya-negara-didunia-yang-pemerintahnya-bahagia-merelakan-rakyatnya-jadi-kelinci-percobaan-vaksin-dari-china/
16,['[SALAH] “Duo Sipit… Yg Satu sudah menjadi Dewan Penasehat DenSus….yg Satunya Hendak mau Jadi Dewan Penasehat Mabes Polri”'],https://turnbackhoax.id/2020/07/24/salah-duo-sipit-yg-satu-sudah-menjadi-dewan-penasehat-densus-yg-satunya-hendak-mau-jadi-dewan-penasehat-mabes-polri/
17,['[SALAH] Covid-19 Tidak Murni Sebabkan Kematian'],https://turnbackhoax.id/2020/07/17/salah-covid-19-tidak-murni-sebabkan-kematian/
18,"['[SALAH] “Semboyan Pesindo “Bekerdja, bekerdja, bekerdja” adalah semboyan PKI”']",https://turnbackhoax.id/2020/07/15/salah-semboyan-pesindo-bekerdja-bekerdja-bekerdja-adalah-semboyan-pki/
19,['[SALAH] Risma Sujud ke IDI Karena Warga Surabaya Tidak Diterima Di RSUD Dr Soetomo'],https://turnbackhoax.id/2020/07/10/salah-risma-sujud-ke-idi-karena-warga-surabaya-tidak-diterima-di-rsud-dr-soetomo/
0,"['[SALAH] “sejeluarga d india meningal,Daun pisang tempat mereka makan terimpeksi pirus k lalawar”']",https://turnbackhoax.id/2020/07/03/salah-sejeluarga-d-india-meningaldaun-pisang-tempat-mereka-makan-terimpeksi-pirus-k-lalawar/
1,['[SALAH] Foto “Imam Besar Kadrun yg baru : IMAM BESAR ROJACK AL GARONG”'],https://turnbackhoax.id/2020/07/02/salah-foto-imam-besar-kadrun-yg-baru-imam-besar-rojack-al-garong/
2,['[SALAH] Video “Benarkah COVID ada??”'],https://turnbackhoax.id/2020/07/01/salah-video-benarkah-covid-ada/
