Tweet,Source Type,Source URL
"Pernyataan/Video Lukas Enembe yang mengajak masyarakat datang berbondong-bondong menonton pertandingan PON adalah Hoax;  Kapasitas Venue PON Maksimal 25% dan Masyarakat yang ingin menonton secara langsung wajib mengikuti Prokes ketat

Vaksin Sukseskan PON https://t.co/AaNilbV1KN",Twitter Web App,https://t.co/AaNilbV1KN
"@irxren makan dlu sblm vaksinnn, yg banyakk, tar abis vaksin lgsg minum obat demam biar ga drop, sm istirahat jangan berkgiatan yg bkin capek dlu",Twitter for Android,dlu
ingetin aku tgl 11 vaksin kedua,Twitter for Android,kedua
"Pernyataan/Video Lukas Enembe yang mengajak masyarakat datang berbondong-bondong menonton pertandingan PON adalah Hoax;  Kapasitas Venue PON Maksimal 25% dan Masyarakat yang ingin menonton secara langsung wajib mengikuti Prokes ketat

Vaksin Sukseskan PON https://t.co/KVswul7Ydj",Twitter Web App,https://t.co/KVswul7Ydj
"@TedHilbert @AldoBabeh Bukti kekecewaan dan ketidakpercayaan rakyat atas abainya pemerintah akan kasus KIPI.
Vaksin aman dan halal seharusnya bisa dibuktikan bukan hanya selogan semata karena kesehatan adalah taruhannya.",Twitter for Android,taruhannya.
"@loafszayn vaksin pertama gaada, klo vaksin kedua cuma pegel, ngantuk sama laper",Twitter for Android,laper
@ditopuccino Alhamdulillah ku sudah vaksin dosis lengkap nih kak semoga segera merata ya ketersediaan vaksin dari Sabang Sampai Merauke #VaksinasiMerata,Twitter Web App,#VaksinasiMerata
vaksin 2 emng pegel ya?,Twitter for Android,ya?
@heamadasahi HEH LO MAU VAKSIN BERAA KALI EMANGNYA??,Twitter Web App,EMANGNYA??
Pokoknya amaan.. Begitu stok datang dan digelar vaksinasi yang belum vaksin buruan ikutan ya... Biar #VaksinasiMerata https://t.co/12Ow6rLURz,Twitter Web App,https://t.co/12Ow6rLURz
@SinarOnline @Khairykj spin broo wajib kan wajib vaksin abis cerita broo,Twitter for iPhone,broo
@tubirfess Aku dapat vaksin sinovac memang sih gejalanya ngantuk doang sama laperan,Twitter for Android,laperan
"Ia diketuai oleh bekas pengarah CDC, yang sekali lagi merupakan kepentingan bersangkutan yg tidak sepatutnya. Ia juga memburukkan pencipta vaksin mRNA melalui artikel artikel berunsur serangan tidak benar.",Twitter Web App,benar.
Laman web pemeriksa fakta bebas yang disebut https://t.co/PCHjZueQYR didedahkan dibiayai oleh kumpulan lobi vaksin bernilai $ 1.9 bilion. Laman web tersebut adalah rakan Facebook yang artikelnya digunakan untuk menapis suara kritikal di platform media sosial. https://t.co/LiRbczOU5L,Twitter Web App,https://t.co/LiRbczOU5L
"DKI Jakarta menempati posisi tertinggi vaksinasi. Sementara yang terendah Lampung, Papua dan Sumbar. Yok bisa yuk, supaya vaksinasi berjalan merata dari Sabang sampai Merauke, kita juga turut berpartisipasi ikut membagi info bahwa vaksin bermanfaat sangat. 
#VaksinasiMerata",Twitter for Android,#VaksinasiMerata
"@AimanPsikologi 1. SJR di sempadan negeri masih ada kan? Kekalkan shj selepas rentas negeri dibenarkan dan check setiap kenderaan yg lepas.
 
ATAU

2. Tak perlu SJR. filter je dari system mysejahtera bagi yg tak lengkap vaksin tapi check-in dinegeri lain.",Twitter for Android,lain.
@peachbunny___ kemarin aku pas vaksin gitu jugaa sksjsjsj akhirnya nunggu sampe jam 1 😔😔🖐🏻,Twitter for Android,😔😔🖐🏻
Td pagi minta ditemenin vaksin . ujungnya brgkt sendiri . Dari dlu sllu ngledekin aku tkut disuntik eh bru ngaku dia jg takut HAhahahaha dasar https://t.co/7YhRKiSAzw,Twitter Web App,https://t.co/7YhRKiSAzw
@hallo_wulandari Aku sudah vaksin lengkap nih kak #VaksinasiMerata,Twitter Web App,#VaksinasiMerata
vaksin kedua sakit bgt kyk kelindes motor,Twitter for Android,motor
"Pada dasarnya suntik vaksin itu gak sakit. Yang bikin resah hanya perasaan kita ketika jarumnya mau dicobloskan ke lengan. Percaya ma saya, ketika jarum sudah masuk, yang ada kita heran, ""udahan, mbak?"" 

Ya emang gak sakit!

Yuk dukung #VaksinasiMerata dari Sabang Sampai Merauke",Twitter for Android,Merauke
@schfess vaksin ke 2 aja belom 😔,Twitter for Android,😔
"Adanya #VaksinasiMerata ini pemerintah yakin dan optimis kalau pada akhir tahun 2021 nanti, 70% masyarakat Indonesia sudah mendapatkan dosis vaksin.

So, ini semua bisa terwujud dgn bantuan seluruh lapisan masyarakat lho!",Twitter for Android,lho!
"@CNNIndonesia Enak ya dikasih kerjaan , Duta Vaksin , Duta Pedofil , Duta Narkoba , Duta Koruptor , Duta Cabul , besok aku mau jadi duta jugalah , tapi bingung duta apa ya , yang melanggar hukum 😁",Twitter for Android,😁
"@Meyltif @styleinhere @tubirfess Vaksin jangan pas lagi sakit atau gak enak badan, seminggu sebelum vaksin tidur sama makan teratur, jujur aku takut banget jarum suntik pas lg dipakein alkohol swab udh tegang bgt trs pas disuntik malah gak berasa apa2 malu bgt dah tegang dluan😭",Twitter for iPhone,dluan😭
"Alhamdulillah , Sudah vaksin.
Brarti Sudah bisa jalan” Nih 😄",Twitter for iPhone,😄
"Syarat Nonton PON XX Papua: Kapasitas 25%, Wajib 2 Kali Vaksin
https://t.co/4nvZHbSJES",Twitter Web App,https://t.co/4nvZHbSJES
@yourpetsfess Di puskeswan jakarta bisa steril tapi kalo vaksin cuma ada vaksin rabies aja,Twitter for Android,aja
"Sedangkan provinsi yang paling rendah dalam pemberian vaksin Covid-19 dosis pertama adalah Lampung, Papua dan Sumatera barat. Yuk #VaksinasiMerata dari Sabang sampai Merauke",Twitter for Android,Merauke
wtp gue udh vaksin tahap kedua😼,Twitter for Android,kedua😼
@gldnsnitch_ gue gaada jadwal vaksin lagi kah biar bisa izin:),Twitter for Android,izin:)
"@PLindungi Selamat siang ka, saya mau daftar vaksin online tp keterangan nya selalu NIK dan Nama harus sesuai, padahal saya sudah sesuai dengan KTP,. Mohon bantuannya terima kasih",Twitter for Android,kasih
"Stok vaksin terus datang nih ke Indonesia.
Jadi stok vaksin sudah dipastikan aman.

Yang belum aman itu yang ngga mau vaksin tapi ngasih tahu yg buruk soal dampak vaksin.

Padahal aman2 aja kok divaksin

#VaksinasiMerata dari Sabang sampai Merauke prlu disegerakan nih. https://t.co/KfU3tjks9a",Twitter for Android,https://t.co/KfU3tjks9a
Yuk kita ikuti imbauan pemerintah utk  tidak pilah-pilih vaksin dan segera divaksinasi utk mendukung program penyebaran #VaksinasiMerata dari Sabang Sampai Merauke. Terutama untuk kelompok yg rentan seperti lansia agar bisa menerima vaksin. Jadi semua lebih aman,Twitter Web App,aman
@SoloMenfess Dolane sesuk wae. Bar vaksin opo ra ngantuk kok lgsg dolan.,Twitter for Android,dolan.
Hlt! Sehari sebelum vaksin bisa minum vitamin nggak?,Twitter for Mac,nggak?
@ZOO_FESS Coba tanya ke vetlink di ig nder mereka bisa home service belum lama si update ready semua vaksin,Twitter for Android,vaksin
abis vaksin ak laper hiks,Twitter for iPhone,hiks
"@jogmfs kartu vaksin, genose/rapid antigen, sm tiket kereta nder",Twitter for Android,nder
"kokas dikira basura yg berakhir milih tempat vaksin jauh amat. sabisanya gue mikir rumah gue deket jaksel, hadeh https://t.co/tHefqufOAd",Twitter for Android,https://t.co/tHefqufOAd
"@jungieehyun iyAaaa lebih sakit yang kedua emang, aku abis vaksin ke2 juga tumbang",Twitter for Android,tumbang
"@youremyetoile @styleinhere @tubirfess pengen banget vaksin tapi masih takut, saran dong gimana supaya gak takut? waktu ada vaksin dikampus aku pengen vaksin tapi lagi flu",Twitter for Android,flu
"@Evi_Fadliah Iyaa jangan takut gak kebagian, jangan takut juga utk segera Vaksin Covid-19 supaya terlindungi dari paparan virus ini. #VaksinasiMerata",Twitter for Android,#VaksinasiMerata
"Plan dengan shuben lepas boleh rentas negeri ni, first nak pegi jalan2 kelantan nak food hunting. Memandangkan orang kelantan berpuluh ribu tolak vaksin, hmmm takpelah bye",Twitter for Android,bye
"@fanslayarkaca__ sudah vaksin, sudah vaksin, belom vaksin",Twitter for iPhone,vaksin
Pemerintah memastikan dari Sabang Sampai Merauke pemerataan vaksin itu ada dan vaksinasi itu berjalan dengan baik sesuai dengan program #VaksinasiMerata dari Sabang Sampai Merata,Twitter for Android,Merata
"So, yuk kawal bareng-bareng biar #VaksinasiMerata dari Sabang sampai Merauke, karena semua warga +62 yang berusia minimal 12 tahun berhak mendapatkan vaksin Covid-19 asalkan ga ada komorbidnya yaaa. Happy Monday! https://t.co/8GTPhuKSv0",Twitter Web App,https://t.co/8GTPhuKSv0
"@AimanPsikologi just curious, klu taun dpn kes covid turun, (terkawal), dan kes icu 0, valid lg ke sapa vaksin siapa xvaksin?",Twitter for Android,xvaksin?
