Text,Kategori,URL
"['Varian Delta Masih Jadi Raja, RI Juga Waspada Varian Mu yang Menyebar di Jepang']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5765752/varian-delta-masih-jadi-raja-ri-juga-waspada-varian-mu-yang-menyebar-di-jepang
['Bamsoet Paparkan Prestasi RI di Asia Tenggara soal Tangani COVID-19'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765637/bamsoet-paparkan-prestasi-ri-di-asia-tenggara-soal-tangani-covid-19
"['Digelar April 2022, Coachella Ganti Regulasi soal Vaksin']","<span class=""category"">detikHot</span>",https://hot.detik.com/music/d-5765147/digelar-april-2022-coachella-ganti-regulasi-soal-vaksin
['Cerita Dokter Unair Berantas Hoaks-Tingkatkan Vaksinasi di 12 Kepulauan Sumenep'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5765516/cerita-dokter-unair-berantas-hoaks-tingkatkan-vaksinasi-di-12-kepulauan-sumenep
['Pemprov Kalteng Suntikkan 500 Dosis Vaksin ke Pelajar-Warga'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765491/pemprov-kalteng-suntikkan-500-dosis-vaksin-ke-pelajar-warga
"['Kisah Satria, Lulusan FK Unair Peneliti Vaksin COVID-19 dan Doktor Termuda']","<span class=""category"">detikEdu</span>",https://www.detik.com/edu/edutainment/d-5765296/kisah-satria-lulusan-fk-unair-peneliti-vaksin-covid-19-dan-doktor-termuda
['Cara Mengatasi Sertifikat Vaksin Tidak Keluar Padahal Sudah Disuntik'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765467/cara-mengatasi-sertifikat-vaksin-tidak-keluar-padahal-sudah-disuntik
['Simulasi Penerapan Prokes Haul KH Abdul Hamid Kota Pasuruan Digelar'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5765641/simulasi-penerapan-prokes-haul-kh-abdul-hamid-kota-pasuruan-digelar
"['Vaksin BCG dan Polio Kosong Sudah 3 Bulan, Ortu Bayi di Cianjur Resah']","<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-barat/d-5765286/vaksin-bcg-dan-polio-kosong-sudah-3-bulan-ortu-bayi-di-cianjur-resah
['Sinergi Stakeholders di Sidoarjo Gencar Vaksinasi Percepat Herd Immunity'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5765539/sinergi-stakeholders-di-sidoarjo-gencar-vaksinasi-percepat-herd-immunity
['AS Bersiap Cabut Pembatasan Perjalanan Darat-Udara-Laut pada November'],"<span class=""category"">detikNews</span>",https://news.detik.com/dw/d-5765261/as-bersiap-cabut-pembatasan-perjalanan-darat-udara-laut-pada-november
['Warga Kota Malang yang NIK-nya Sempat Dipakai Orang Lain Akhirnya Bisa Divaksin'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5765182/warga-kota-malang-yang-nik-nya-sempat-dipakai-orang-lain-akhirnya-bisa-divaksin
['Sindiran WHO soal Keputusan Moderna yang Ogah Bagi Formula Vaksin'],"<span class=""category"">detikHealth</span>",https://health.detik.com/detiktv/d-5765149/sindiran-who-soal-keputusan-moderna-yang-ogah-bagi-formula-vaksin
"[""Pakar 'Berterima Kasih' Varian Delta Masuk RI, Bikin Pemerintah Sadar""]","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5765136/pakar-berterima-kasih-varian-delta-masuk-ri-bikin-pemerintah-sadar
['Kapolri: TNI-Polri Terus Bersinergi Wujudkan Target Vaksinasi Presiden Jokowi'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765131/kapolri-tni-polri-terus-bersinergi-wujudkan-target-vaksinasi-presiden-jokowi
"['Cegah Klaster Baru, Pemprov Kalteng Kebut Vaksinasi Sektor Pendidikan']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765129/cegah-klaster-baru-pemprov-kalteng-kebut-vaksinasi-sektor-pendidikan
['Siswa Masih Kesulitan Cek Sertifikat Vaksin di PeduliLindungi? Ikuti Cara Ini'],"<span class=""category"">detikEdu</span>",https://www.detik.com/edu/detikpedia/d-5765022/siswa-masih-kesulitan-cek-sertifikat-vaksin-di-pedulilindungi-ikuti-cara-ini
"['Cara Daftar Vaksin Online Paling Mudah untuk Siswa, Yuk Coba!']","<span class=""category"">detikEdu</span>",https://www.detik.com/edu/detikpedia/d-5765037/cara-daftar-vaksin-online-paling-mudah-untuk-siswa-yuk-coba
['Sepakat! Indonesia-Turki Saling Akui Sertifikat Vaksin Corona dan Hasil PCR'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765042/sepakat-indonesia-turki-saling-akui-sertifikat-vaksin-corona-dan-hasil-pcr
"['Daftar Yuk! Vaksin Pfizer CT Corp Hadir di Malang, Makassar, Medan']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5765039/daftar-yuk-vaksin-pfizer-ct-corp-hadir-di-malang-makassar-medan
['Pemerintah Matangkan Skema Akses Data Jemaah Umrah di PeduliLindungi'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5764964/pemerintah-matangkan-skema-akses-data-jemaah-umrah-di-pedulilindungi
"['Persyaratan Vaksin Covid, Cek Dulu Yuk Sebelum Daftar']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5764944/persyaratan-vaksin-covid-cek-dulu-yuk-sebelum-daftar
