Text,URL
['[SALAH] Foto Seorang Lansia Menggunakan Alat Bantu Pernapasan di Jalan karena Kasus Covid-19 di India Meningkat Drastis'],https://turnbackhoax.id/2021/04/25/salah-foto-seorang-lansia-menggunakan-alat-bantu-pernapasan-di-jalan-karena-kasus-covid-19-di-india-meningkat-drastis/
"['[FALSE] Inhaling Mothballs, Cloves, Carom Seeds, and Eucalyptus Oil Can Relieve Shortness of Breath Due to COVID-19 Infection']",https://turnbackhoax.id/2021/04/25/false-inhaling-mothballs-cloves-carom-seeds-and-eucalyptus-oil-can-relieve-shortness-of-breath-due-to-covid-19-infection/
"['[SALAH] Menghirup Kapur Barus, Cengkeh, Biji Karom, dan Minyak Kayu Putih dapat Meredakan Sesak Nafas Akibat Infeksi COVID-19']",https://turnbackhoax.id/2021/04/23/salah-menghirup-kapur-barus-cengkeh-biji-karom-dan-minyak-kayu-putih-dapat-meredakan-sesak-nafas-akibat-infeksi-covid-19/
['[FALSE] All Covid-19 Vaccine Test Animals Are Proven to Die Because of Vaccine Injections'],https://turnbackhoax.id/2021/04/22/false-all-covid-19-vaccine-test-animals-are-proven-to-die-because-of-vaccine-injections/
['[SALAH] Makan Bawang Mentah dan Garam bisa Ubah Positif Covid-19 Menjadi Negatif setelah 15 Menit'],https://turnbackhoax.id/2021/04/21/salah-makan-bawang-mentah-dan-garam-bisa-ubah-positif-covid-19-menjadi-negatif-setelah-15-menit/
['[SALAH] Video Membuang Uang di Times Square untuk Teman Baiknya yang Meninggal karena Covid-19'],https://turnbackhoax.id/2021/04/20/salah-video-membuang-uang-di-times-square-untuk-teman-baiknya-yang-meninggal-karena-covid-19/
['[SALAH] Seluruh Hewan Percobaan Vaksin Covid-19 Terbukti Mati Karena Suntik Vaksin'],https://turnbackhoax.id/2021/04/19/salah-seluruh-hewan-percobaan-vaksin-covid-19-terbukti-mati-karena-suntik-vaksin/
['[SALAH] Kota Tarakan Kalimantan Utara Bebas Covid-19'],https://turnbackhoax.id/2021/04/15/salah-kota-tarakan-kalimantan-utara-bebas-covid-19/
['[FALSE] The use of masks can cause death due to Covid-19'],https://turnbackhoax.id/2021/04/13/false-the-use-of-masks-can-cause-death-due-to-covid-19/
['[SALAH] Pemerintah Inggris Menurunkan Status Covid-19 Karena Covid-19 Bisa Sembuh dengan Paracetamol'],https://turnbackhoax.id/2021/04/13/salah-pemerintah-inggris-menurunkan-status-covid-19-karena-covid-19-bisa-sembuh-dengan-paracetamol/
['[SALAH] Penggunaan Masker dapat Menyebabkan Kematian Akibat Covid-19'],https://turnbackhoax.id/2021/04/11/salah-penggunaan-masker-dapat-menyebabkan-kematian-akibat-covid-19/
['[SALAH] Website Portal Vaksin Covid-19 “corporate-realty.co”'],https://turnbackhoax.id/2021/04/06/salah-website-portal-vaksin-covid-19-corporate-realty-co/
['[SALAH] Vaksin Covid-19 Merusak Sel Otak dan Sel Darah'],https://turnbackhoax.id/2021/04/06/salah-vaksin-covid-19-merusak-sel-otak-dan-sel-darah/
['[SALAH] Bantuan Penanganan Covid-19 untuk Pondok Pesantren dan Panti Asuhan oleh Wakil Ketua DPRD Pasuruan'],https://turnbackhoax.id/2021/03/31/salah-bantuan-penanganan-covid-19-untuk-pondok-pesantren-dan-panti-asuhan-oleh-wakil-ketua-dprd-pasuruan/
['[SALAH] “setelah vaksin Covid-19 selama 5 bulan tak boleh minum yg mengandung alkohol”'],https://turnbackhoax.id/2021/03/28/salah-setelah-vaksin-covid-19-selama-5-bulan-tak-boleh-minum-yg-mengandung-alkohol/
['[SALAH] Tentara Angkatan Laut Australia Mengalami Efek Samping Parah setelah Divaksin Covid-19'],https://turnbackhoax.id/2021/03/23/salah-tentara-angkatan-laut-australia-mengalami-efek-samping-parah-setelah-divaksin-covid-19/
['[SALAH] Tidak Ada Kasus Covid-19 di Bhutan karena Penduduknya Vegetarian'],https://turnbackhoax.id/2021/03/16/salah-tidak-ada-kasus-covid-19-di-bhutan-karena-penduduknya-vegetarian/
['[SALAH] Vaksinasi Covid-19 untuk Warga Non DKI Jakarta di Istora Senayan'],https://turnbackhoax.id/2021/03/14/salah-vaksinasi-covid-19-untuk-warga-non-dki-jakarta-di-istora-senayan/
['[SALAH] Rusia Menemukan bahwa Covid-19 Tidak Disebabkan oleh Virus'],https://turnbackhoax.id/2021/03/12/salah-rusia-menemukan-bahwa-covid-19-tidak-disebabkan-oleh-virus/
"['[SALAH] Bio Farma Mengadakan Vaksinasi Covid-19 pada Jumat, 12 Maret 2021']",https://turnbackhoax.id/2021/03/12/salah-bio-farma-mengadakan-vaksinasi-covid-19-pada-jumat-12-maret-2021/
['[SALAH] Menghirup Uap Panas Teh Herbal Dapat Mencegah dan Menyembuhkan COVID-19'],https://turnbackhoax.id/2021/03/10/salah-menghirup-uap-panas-teh-herbal-dapat-mencegah-dan-menyembuhkan-covid-19/
['[SALAH] Pesan Berantai Video “Potensi Bahaya Vaksin COVID-19”'],https://turnbackhoax.id/2021/03/07/salah-pesan-berantai-video-potensi-bahaya-vaksin-covid-19/
['[SALAH] Uap Panas Hasil Rebusan Daun Jambu dapat Mengobati Covid-19'],https://turnbackhoax.id/2021/03/07/salah-uap-panas-hasil-rebusan-daun-jambu-dapat-mengobati-covid-19/
['[SALAH] Pemberian Vaksin Covid-19 oleh Badan Litbangkes'],https://turnbackhoax.id/2021/03/06/salah-pemberian-vaksin-covid-19-oleh-badan-litbangkes/
['[SALAH] “kenapa semua nya meninggal dengan ciri ciri penyebab yg sama seperti korban vaksin Covid-19 lain di luar negeri”'],https://turnbackhoax.id/2021/03/05/salah-kenapa-semua-nya-meninggal-dengan-ciri-ciri-penyebab-yg-sama-seperti-korban-vaksin-covid-19-lain-di-luar-negeri/
['[SALAH] Akun WhatsApp Juru Bicara Vaksinasi Covid-19 Meminta Sejumlah Dana'],https://turnbackhoax.id/2021/02/27/salah-akun-whatsapp-juru-bicara-vaksinasi-covid-19-meminta-sejumlah-dana/
['[SALAH] Demonstrasi Memprotes Kebijakan Covid-19 di Romania'],https://turnbackhoax.id/2021/02/26/salah-demonstrasi-memprotes-kebijakan-covid-19-di-romania/
['[SALAH] Foto Efek Samping Yang Dialami Setelah Vaksinasi Moderna Covid-19'],https://turnbackhoax.id/2021/02/24/salah-foto-efek-samping-yang-dialami-setelah-vaksinasi-moderna-covid-19/
['[SALAH] Jambu Kristal Putih Dapat Menangkal Covid-19'],https://turnbackhoax.id/2021/02/17/salah-jambu-kristal-putih-dapat-menangkal-covid-19/
